Skin_type,Sensitivity,Blood_group,Hyperpigmentation_type,Remedy,Remedy_ID
Normal,No,A+,Hormonal,"Papaya and honey mask: Mash ripe papaya and mix with honey. Apply for 20 minutes, then rinse. 
 Routine: 
 1. Cleanse: Use a gentle cleanser. 
 2. Mask: Apply 1-2 times a week for rejuvenation. 
 3. Moisturize: Use a light moisturizer. 
 4. Sunscreen: Apply sunscreen every day.",140
Normal,No,A-,Hormonal,"Grape seed oil and vitamin E blend: Mix grape seed oil with vitamin E. Apply daily. 
 Routine: 
 1. Cleanse: Use a gentle face wash. 
 2. Apply Blend: Massage blend onto skin daily. 
 3. Hydrate: Apply a light moisturizer after. 
 4. Sunscreen: Use sunscreen during the day.",141
Normal,No,B+,Hormonal,"Rice flour and milk face mask: Mix rice flour with milk. Apply for 15 minutes, then rinse. 
 Routine: 
 1. Cleanse: Wash with a gentle cleanser. 
 2. Mask: Use 1-2 times a week for brightening. 
 3. Moisturize: Follow with a light moisturizer. 
 4. Sunscreen: Daily SPF is crucial.",142
Normal,No,B-,Hormonal,"Pomegranate juice and honey blend: Mix pomegranate juice with honey. Apply for 20 minutes, then rinse. 
 Routine: 
 1. Cleanse: Start with a gentle cleanser. 
 2. Mask: Use 1-2 times a week for revitalizing skin. 
 3. Hydrate: Apply a moisturizer afterward. 
 4. Sunscreen: Apply sunscreen daily.",143
Normal,No,O+,Hormonal,"Beetroot juice and aloe vera mix: Blend beetroot juice with aloe vera. Apply for 20 minutes, then rinse. 
 Routine: 
 1. Cleanse: Use a mild cleanser. 
 2. Mask: Apply 1-2 times a week for glow. 
 3. Moisturize: Use a light moisturizer after. 
 4. Sunscreen: Apply SPF daily.",144
Normal,No,O-,Hormonal,"Green tea and lemon juice treatment: Brew green tea, mix with lemon juice. Use as a toner daily. 
 Routine: 
 1. Cleanse: Start with a gentle cleanser. 
 2. Tone: Apply the mixture daily with a cotton pad after cleansing. 
 3. Moisturize: Use a light moisturizer afterward. 
 4. Sunscreen: Daily SPF application is essential.",145
Normal,No,AB+,Hormonal,"Carrot juice and honey mask: Mix carrot juice with honey. Apply for 15 minutes, then rinse. 
 Routine: 
 1. Cleanse: Use a gentle cleanser. 
 2. Mask: Use 1-2 times a week for nourishment. 
 3. Hydrate: Apply a moisturizer after. 
 4. Sunscreen: Apply sunscreen every day.",146
Normal,No,AB-,Hormonal,"Mint and yogurt cooling mask: Blend mint leaves with yogurt. Apply for 20 minutes, then rinse. 
 Routine: 
 1. Cleanse: Wash with a gentle cleanser. 
 2. Mask: Use 1-2 times a week for cooling. 
 3. Moisturize: Follow with a light moisturizer. 
 4. Sunscreen: Daily application of SPF is recommended.",147
Oily,No,A+,Age_spots,"Turmeric and lemon juice: Mix 1 tsp of turmeric powder with 1 tbsp of lemon juice. Apply for 20 minutes, then rinse with warm water. 
 Routine: 
 1. Cleanse face with a gentle cleanser. 
 2. Apply the mask 2-3 times a week. 
 3. Follow with a moisturizer. 
 4. Use sunscreen daily.",148
Oily,No,A-,Age_spots,"Aloe vera gel and vitamin E oil: Mix aloe vera gel with a few drops of vitamin E oil. Apply to age spots nightly. 
 Routine: 
 1. Cleanse face and pat dry. 
 2. Apply the mixture nightly. 
 3. Moisturize as needed. 
 4. Use sunscreen during the day.",149
Oily,No,B+,Age_spots,"Papaya and honey: Mash ripe papaya and mix with honey. Apply for 15-20 minutes, then rinse. 
 Routine: 
 1. Cleanse face. 
 2. Use the mask 1-2 times a week. 
 3. Moisturize after rinsing. 
 4. Apply sunscreen daily.",150
Oily,No,B-,Age_spots,"Green tea and honey: Brew green tea, let it cool, then mix with honey. Apply for 15 minutes, then rinse. 
 Routine: 
 1. Cleanse face. 
 2. Apply the mask 1-2 times a week. 
 3. Follow with a moisturizer. 
 4. Use sunscreen.",151
Oily,No,O+,Age_spots,"Tomato pulp and yogurt: Mix fresh tomato pulp with yogurt. Apply for 20 minutes, then rinse. 
 Routine: 
 1. Cleanse face. 
 2. Use the mask 1-2 times a week. 
 3. Moisturize afterward. 
 4. Apply sunscreen during the day.",152
Oily,No,O-,Age_spots,"Rice flour and milk: Mix rice flour with milk to form a paste. Apply for 20 minutes, then rinse. 
 Routine: 
 1. Cleanse face. 
 2. Use the scrub 1-2 times a week. 
 3. Moisturize after rinsing. 
 4. Use sunscreen.",153
Oily,No,AB+,Age_spots,"Licorice extract and chamomile: Mix licorice extract with brewed chamomile tea. Apply for 15-20 minutes, then rinse. 
 Routine: 
 1. Cleanse face. 
 2. Use the mask 1-2 times a week. 
 3. Moisturize afterward. 
 4. Apply sunscreen.",154
Oily,No,AB-,Age_spots,"Cucumber juice and mint leaves: Blend cucumber and mint leaves, strain the juice, and apply. Leave on for 20 minutes, then rinse. 
 Routine: 
 1. Cleanse face. 
 2. Use the treatment 1-2 times a week. 
 3. Follow with moisturizer. 
 4. Apply sunscreen.",155
Dry,No,A+,Age_spots,"Avocado and honey: Mash avocado and mix with honey. Apply for 20 minutes, then rinse. 
 Routine: 
 1. Cleanse face. 
 2. Use the mask 1-2 times a week. 
 3. Moisturize afterward. 
 4. Apply sunscreen daily.",156
Dry,No,A-,Age_spots,"Oatmeal and yogurt: Mix oatmeal with yogurt to create a paste. Apply for 15-20 minutes, then rinse. 
 Routine: 
 1. Cleanse face. 
 2. Use the mask 1-2 times a week. 
 3. Follow with a moisturizer. 
 4. Use sunscreen.",157
Dry,No,B+,Age_spots,"Banana and almond oil: Mash banana and mix with almond oil. Apply for 20 minutes, then rinse. 
 Routine: 
 1. Cleanse face. 
 2. Use the mask 1-2 times a week. 
 3. Moisturize afterward. 
 4. Apply sunscreen daily.",158
Dry,No,B-,Age_spots,"Mango pulp and cream: Mash ripe mango and mix with cream. Apply for 15-20 minutes, then rinse. 
 Routine: 
 1. Cleanse face. 
 2. Use the mask 1-2 times a week. 
 3. Follow with moisturizer. 
 4. Apply sunscreen.",159
Dry,No,O+,Age_spots,"Coconut oil and turmeric: Mix coconut oil with turmeric. Apply to affected areas overnight, rinse in the morning. 
 Routine: 
 1. Cleanse face. 
 2. Apply mixture nightly. 
 3. Moisturize as needed. 
 4. Use sunscreen during the day.",160
Dry,No,O-,Age_spots,"Honey and rose water: Mix honey with rose water. Apply to age spots for 20 minutes, then rinse. 
 Routine: 
 1. Cleanse face. 
 2. Use the treatment 1-2 times a week. 
 3. Follow with a moisturizer. 
 4. Apply sunscreen daily.",161
Dry,No,AB+,Age_spots,"Papaya and coconut milk: Mash papaya and mix with coconut milk. Apply for 20 minutes, then rinse. 
 Routine: 
 1. Cleanse face. 
 2. Use the mask 1-2 times a week. 
 3. Follow with moisturizer. 
 4. Apply sunscreen.",162
Dry,No,AB-,Age_spots,"Shea butter and lemon juice: Mix shea butter with lemon juice. Apply to age spots for 20 minutes, then rinse. 
 Routine: 
 1. Cleanse face. 
 2. Use the treatment 1-2 times a week. 
 3. Moisturize afterward. 
 4. Use sunscreen daily.",163
Normal,No,A+,Age_spots,"Yogurt and honey: Mix yogurt with honey. Apply for 20 minutes, then rinse. 
 Routine: 
 1. Cleanse face. 
 2. Use the mask 1-2 times a week. 
 3. Follow with a moisturizer. 
 4. Apply sunscreen daily.",164
Normal,No,A-,Age_spots,"Lemon juice and aloe vera: Mix lemon juice with aloe vera gel. Apply for 15-20 minutes, then rinse. 
 Routine: 
 1. Cleanse face. 
 2. Use the mask 1-2 times a week. 
 3. Moisturize afterward. 
 4. Use sunscreen.",165
Normal,No,B+,Age_spots,"Cucumber and green tea: Blend cucumber with brewed green tea. Apply for 15-20 minutes, then rinse. 
 Routine: 
 1. Cleanse face. 
 2. Use the mask 1-2 times a week. 
 3. Follow with moisturizer. 
 4. Apply sunscreen.",166
Normal,No,B-,Age_spots,"Baking soda and olive oil: Mix baking soda with olive oil to form a paste. Use as a scrub 1-2 times a week. 
 Routine: 
 1. Cleanse face. 
 2. Use scrub 1-2 times a week. 
 3. Moisturize afterward. 
 4. Apply sunscreen daily.",167
Normal,No,O+,Age_spots,"Strawberry and buttermilk: Mash strawberries and mix with buttermilk. Apply for 15-20 minutes, then rinse. 
 Routine: 
 1. Cleanse face. 
 2. Use the mask 1-2 times a week. 
 3. Follow with moisturizer. 
 4. Apply sunscreen.",168
Normal,No,O-,Age_spots,"Papaya and honey: Mash papaya and mix with honey. Apply for 20 minutes, then rinse. 
 Routine: 
 1. Cleanse face. 
 2. Use the mask 1-2 times a week. 
 3. Follow with a moisturizer. 
 4. Apply sunscreen daily.",169
Normal,No,AB+,Age_spots,"Carrot puree and coconut milk: Blend cooked carrots and mix with coconut milk. Apply for 20 minutes, then rinse. 
 Routine: 
 1. Cleanse face. 
 2. Use the mask 1-2 times a week. 
 3. Follow with moisturizer. 
 4. Apply sunscreen daily.",170
Normal,No,AB-,Age_spots,"Chamomile tea and honey: Brew chamomile tea, let it cool, and mix with honey. Apply for 15-20 minutes, then rinse. 
 Routine: 
 1. Cleanse face. 
 2. Use the mask 1-2 times a week. 
 3. Moisturize afterward. 
 4. Apply sunscreen daily.",171
